Macroárea,Área de Estudo,Nome,Gênero,Bolsa PQ,Instituição,Estado da Instituição,Região da Instituição
Ciências Humanas e Sociais Aplicadas,Administração,Ademar Dutra,Homem,PQ-2,UNISUL,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Adriana Backx Noronha Viana,Mulher,PQ-C,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Adriana Bruscato Bortoluzzo,Mulher,PQ-C,INSPER,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Adriana Cristina Ferreira Caldana,Mulher,PQ-C,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Adriana Marotti de Mello,Mulher,PQ-2,FEAC/USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Adriana Roseli Wunsch Takahashi,Mulher,PQ-2,UFPR,PR,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Adriano Mendonça Souza,Homem,PQ-2,UFSM,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Alair Ferreira de Freitas,Homem,PQ-2,UFV,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Alessandra Carvalho de Vasconcelos,Mulher,PQ-2,UFC,CE,Nordeste
Ciências Humanas e Sociais Aplicadas,Administração,Alessandra de Sá Mello da Costa,Mulher,PQ-2,PUC-Rio,RJ,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Alexandre Costa Quintana,Homem,PQ-C,FURG,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Alexandre Nascimento de Almeida,Homem,PQ-C,UnB,DF,Centro-Oeste
Ciências Humanas e Sociais Aplicadas,Administração,Alexandre de Almeida Faria,Homem,PQ-C,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Alexandre de Pádua Carrieri,Homem,PQ-1A,UFMG,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Alketa Peci,Mulher,PQ-2,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Allan Claudius Queiroz Barbosa,Homem,PQ-2,UFMG,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Alsones Balestrin,Homem,PQ-1D,UNISINOS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Amarolinda Iara da Costa Zanela Klein,Mulher,PQ-2,UNISINOS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Amon Narciso de Barros,Homem,PQ-C,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Ana Cristina Fachinelli Bertolini,Mulher,PQ-2,UCS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Ana Maria Machado Toaldo,Mulher,PQ-2,UFPR,PR,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Ana Maria Malik,Mulher,PQ-C,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Ana Regina de Aguiar Dutra,Mulher,PQ-2,UNISUL,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Anderson de Souza Sant'Anna,Homem,PQ-C,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Andrea Felippe Cabello,Mulher,PQ-C,UnB,DF,Centro-Oeste
Ciências Humanas e Sociais Aplicadas,Administração,Andrea Lago da Silva,Mulher,PQ-C,UFSCAR,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,André Carlos Busanelli de Aquino,Homem,PQ-1D,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,André Luis Korzenowski,Homem,PQ-2,UNISINOS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,André Luiz Maranhão de Souza Leão,Homem,PQ-C,UFPE,PE,Nordeste
Ciências Humanas e Sociais Aplicadas,Administração,Andréa Paula Segatto,Mulher,PQ-2,UFPR,PR,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Anete Alberton,Mulher,PQ-C,UNIVALI,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Angela Maria Cavalcanti da Rocha,Mulher,PQ-1A,PUC-Rio,RJ,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Anielson Barbosa da Silva,Homem,PQ-C,UFPB,PB,Nordeste
Ciências Humanas e Sociais Aplicadas,Administração,Antonio Carlos Gastaud Maçada,Homem,PQ-1B,UFRGS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Antonio Lopo Martinez,Homem,PQ-2,FUCAPE,ES,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Antonio Moreira de Carvalho Neto,Homem,PQ-C,PUC Minas,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Ariane Cristine Roder Figueira,Mulher,PQ-C,UFRJ,RJ,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Ariel Behr,Homem,PQ-C,UFRGS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Aureliano Angel Bressan,Homem,PQ-2,UFMG,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Aurora Carneiro Zen,Mulher,PQ-2,UFRGS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Bruno Brandão Fischer,Homem,PQ-C,UNICAMP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Bruno Felix Guilherme de Araujo,Homem,PQ-2,FUCAPE,ES,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Carlo Gabriel Porto Bellini,Homem,PQ-2,UFPB,PB,Nordeste
Ciências Humanas e Sociais Aplicadas,Administração,Carlos Alberto Gonçalves,Homem,PQ-C,UFMG,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Carlos Eduardo Facin Lavarda,Homem,PQ-1D,UFSC,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Carlos Ricardo Rossetto,Homem,PQ-2,UNIVALI,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Celso Augusto de Matos,Homem,PQ-2,UNISINOS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Celso Machado Júnior,Homem,PQ-C,USCS,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Cesar Alexandre de Souza,Homem,PQ-C,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Cintia Rodrigues de Oliveira,Mulher,PQ-C,UFU,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Clandia Maffini Gomes,Mulher,PQ-2,UFSM,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Claudia Affonso Silva Araujo,Mulher,PQ-2,UFRJ,RJ,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Claudia Cristina Bitencourt,Mulher,PQ-1D,UNISINOS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Claudia Tania Picinin,Mulher,PQ-C,UTFPR,PR,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Claudimar Pereira da Veiga,Homem,PQ-2,FDC,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Cláudia Souza Passador,Mulher,PQ-C,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Cláudio Hoffmann Sampaio,Homem,PQ-1B,PUCRS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Cláudio de Araújo Wanderley,Homem,PQ-C,UFPE,PE,Nordeste
Ciências Humanas e Sociais Aplicadas,Administração,Cristiana Fernandes De Muylder,Mulher,PQ-2,FUMEC,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Cristiane Drebes Pedron,Mulher,PQ-2,UNINOVE,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Cristiane Pizzutti dos Santos,Mulher,PQ-1C,UFRGS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Cristina Dai Prá Martens,Mulher,PQ-2,UNINOVE,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Cristina Lelis Leal Calegario,Mulher,PQ-2,UFLA,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Cristine Hermann Nodari,Mulher,PQ-2,FEEVALE,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,César Augusto Tibúrcio Silva,Homem,PQ-C,UnB,DF,Centro-Oeste
Ciências Humanas e Sociais Aplicadas,Administração,Daniel Arruda Coronel,Homem,PQ-C,UFSM,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Daniel Carvalho de Rezende,Homem,PQ-2,UFLA,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Danny Pimentel Claro,Homem,PQ-2,INSPER,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,David Ferreira Lopes Santos,Homem,PQ-2,UNESP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Deise Luiza da Silva Ferraz,Mulher,PQ-C,UFMG,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Delane Botelho,Homem,PQ-C,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,  ,Mulher,PQ-2,UNIOESTE,PR,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Deonir De Toni,Homem,PQ-2,UCS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Dinorá Eliete Floriani,Mulher,PQ-2,UNIVALI,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Diogo Henrique Helal,Homem,PQ-2,FUNDAJ,PE,Nordeste
Ciências Humanas e Sociais Aplicadas,Administração,Dirceu da Silva,Homem,PQ-2,UNICAMP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Diógenes de Souza Bido,Homem,PQ-C,MACKENZIE,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Douglas Wegner,Homem,PQ-2,FDC,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Dusan Schreiber,Homem,PQ-2,FEEVALE,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Edgard Bruno Cornacchione Junior,Homem,PQ-C,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Edilson Paulo,Homem,PQ-1D,UFSC,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Edson Keyso de Miranda Kubo,Homem,PQ-C,USCS,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Eduardo Eugênio Spers,Homem,PQ-C,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Eduardo Henrique Diniz,Homem,PQ-2,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Eduardo Paes Barreto Davel,Homem,PQ-2,UFBA,BA,Nordeste
Ciências Humanas e Sociais Aplicadas,Administração,Edvalda Araujo Leal,Mulher,PQ-2,UFU,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Eliana Andréa Severo,Mulher,PQ-C,UFPE,PE,Nordeste
Ciências Humanas e Sociais Aplicadas,Administração,Eliane Pereira Zamith Brito,Mulher,PQ-1D,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Eloisio Moulin de Souza,Homem,PQ-2,UFES,ES,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Ely Laureano Paiva,Homem,PQ-1C,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Emerson Antonio Maccari,Homem,PQ-2,UNINOVE,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Emerson Wagner Mainardes,Homem,PQ-C,FUCAPE,ES,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Emilio Jose Montero Arruda Filho,Homem,PQ-C,UFPA,PA,Norte
Ciências Humanas e Sociais Aplicadas,Administração,Erlaine Binotto,Mulher,PQ-2,UFGD,MS,Centro-Oeste
Ciências Humanas e Sociais Aplicadas,Administração,Evandro Luiz Lopes,Homem,PQ-1D,ESPM,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Fabiano Guasti Lima,Homem,PQ-2,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Fabiano Larentis,Homem,PQ-2,UCS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Fabiano Maury Raupp,Homem,PQ-C,UDESC,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Fabio Frezatti,Homem,PQ-SR,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Fabricia Silva da Rosa,Mulher,PQ-C,UFSC,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Felipe Mendes Borini,Homem,PQ-1D,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Fernanda Filgueiras Sauerbronn,Mulher,PQ-C,UFRJ,RJ,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Fernanda Maciel Reichert,Mulher,PQ-C,UFRGS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Fernando Antonio Ribeiro Serra,Homem,PQ-1D,UNINOVE,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Fernando de Oliveira Santini,Homem,PQ-C,PUCRS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Filipe João Bera de Azevedo Sobral,Homem,PQ-2,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Flavia Luciane Scherer,Mulher,PQ-C,UFSM,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Flaviano Costa,Homem,PQ-C,UFPR,PR,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Flavio Hourneaux Junior,Homem,PQ-2,FEAC/USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Flávia de Souza Costa Neves Cavazotte,Mulher,PQ-C,PUC-Rio,RJ,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Francisval de Melo Carvalho,Homem,PQ-C,UFLA,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Gabriel Sperandio Milan,Homem,PQ-C,UNISINOS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Geciane Silveira Porto,Mulher,PQ-1D,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Geysler Rogis Flor Bertolini,Homem,PQ-C,UNIOESTE,PR,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Giancarlo Gomes,Homem,PQ-C,FURB,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Gilberto José Miranda,Homem,PQ-2,UFU,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Gilnei Luiz de Moura,Homem,PQ-C,UFSM,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Gisela Demo Fiuza,Mulher,PQ-C,UnB,DF,Centro-Oeste
Ciências Humanas e Sociais Aplicadas,Administração,Graziela Dias Alperstedt,Mulher,PQ-C,UDESC,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Gustavo Hermínio Salati Marcondes de Moraes,Homem,PQ-C,UNICAMP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Gérson Tontini,Homem,PQ-1D,FURB,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Heidy Rodriguez Ramos,Mulher,PQ-2,UNINOVE,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Herbert Kimura,Homem,PQ-2,UnB,DF,Centro-Oeste
Ciências Humanas e Sociais Aplicadas,Administração,Hilka Pelizza Vier Machado,Mulher,PQ-C,UFPR,PR,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Hudson Fernandes Amaral,Homem,PQ-B,Uniorizontes,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Igor Bernardi Sonza,Homem,PQ-2,UFSM,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Ilse Maria Beuren,Mulher,PQ-1A,UFSC,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Isak Kruglianskas,Homem,PQ-2,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Ivan Lapuente Garrido,Homem,PQ-2,UNISINOS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Jacqueline Veneroso Alves da Cunha,Mulher,PQ-2,UFMG,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Jacques Demajorovic,Homem,PQ-C,FEI,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Janaina Macke,Mulher,PQ-2,UCS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Janaina de Moura Engracia Giraldi,Mulher,PQ-2,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Janette Brunstein,Mulher,PQ-2,MACKENZIE,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Joana Sabrina Pereira Story,Mulher,PQ-C,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Joelson Oliveira Sampaio,Homem,PQ-2,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Jorge Brantes Ferreira,Homem,PQ-2,PUC-Rio,RJ,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Jorge Ferreira da Silva,Homem,PQ-1A,PUC-Rio,RJ,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Jorge Manoel Teixeira Carneiro,Homem,PQ-1D,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Jorge Oneide Sausen,Homem,PQ-C,UNIJUI,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Jorge Renato de Souza Verschoore Filho,Homem,PQ-1D,UNISINOS,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Jose Carlos Lazaro da Silva Filho,Homem,PQ-C,UFC,CE,Nordeste
Ciências Humanas e Sociais Aplicadas,Administração,Jose Célio Silveira Andrade,Homem,PQ-2,UFBA,BA,Nordeste
Ciências Humanas e Sociais Aplicadas,Administração,Josete Florencio dos Santos,Mulher,PQ-C,UFPE,PE,Nordeste
Ciências Humanas e Sociais Aplicadas,Administração,José Afonso Mazzon,Homem,PQ-C,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,José Alonso Borba,Homem,PQ-1D,UFSC,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,José Antonio Puppim de Oliveira,Homem,PQ-1D,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,José Baltazar Salgueirinho Osório de Andrade Guerra,Homem,PQ-C,UNISUL,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,José Milton de Sousa Filho,Homem,PQ-2,UNIFOR,CE,Nordeste
Ciências Humanas e Sociais Aplicadas,Administração,José Osvaldo De Sordi,Homem,PQ-C,UNIFESP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,José Roberto Pereira,Homem,PQ-2,UFLA,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,João Luiz Passador,Homem,PQ-C,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,João Maurício Gama Boaventura,Homem,PQ-2,FEAC/USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,João Vinícius de França Carvalho,Homem,PQ-C,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Juliana Bonomi Santos de Campos,Mulher,PQ-C,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Júlio Araujo Carneiro da Cunha,Homem,PQ-C,UNINOVE,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Kadigia Faccin,Mulher,PQ-2,FDC,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Kelmara Mendes Vieira,Mulher,PQ-1D,UFSM,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Kely Cesar Martins de Paiva,Mulher,PQ-C,UFMG,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Leander Luiz Klein,Homem,PQ-2,UFSM,RS,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Leonardo Augusto de Vasconcelos Gomes,Homem,PQ-C,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Leonardo Flach,Homem,PQ-C,UFSC,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Leonardo Secchi,Homem,PQ-C,UDESC,SC,Sul
Ciências Humanas e Sociais Aplicadas,Administração,Luciana Marques Vieira,Mulher,PQ-2,FGV,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Luciana Oranges Cezarino,Mulher,PQ-C,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Administração,Luciano Ferreira da Silva,Homem,PQ-2,UNINOVE,SP,Sudeste
